Whisky_korean,whiskey_english,ABV%,Country,Type,alcohol_image_url
벤리악 12년,Benriach 12 Year Old,46,scotland,Single Malt,
벤리악 하트오브스페이사이드,Benriach The Heart of Speyside,40,scotland,Single Malt,
벨즈,Bell's Whisky,40,scotland,Blended,
보모어 12년,Bowmore 12 Year Old,40,scotland,Single Malt,
보모어 15년,Bowmore 15 Year Old,43,scotland,Single Malt,
보모어 18년,Bowmore 18 Year Old,43,scotland,Single Malt,
보모어 25년,Bowmore 25 Year Old,43,scotland,Single Malt,
보모어 애스터마틴,Bowmore Aston Martin Edition,43,scotland,Single Malt,
부나하벤 12년,Bunnahabhain 12 year old,46.3,scotland,Single Malt,
부커스,Bookers Bourbon,60~65,usa,Bourbon,
불릿 10년,Bulleit Bourbon 10 Year Old,45.6,usa,Bourbon,
불릿 라이,Bulleit Rye,45,usa,Bourbon,
불릿 버번,Bulleit Bourbon,46.5,usa,Bourbon,
블랙보틀,Black Bottle,40,scotland,Blended,
블랙보틀 10년,Black Bottle 10 Year Old,40,scotland,Blended,
산토리 가쿠빈,Suntory Kakubin,40,japan,Blended,
스미노프 골드,Smirnoff Gold,37.5,russia,Vodka,
스미노프 그린애플,Smirnoff Green Apple,35,russia,Vodka,
스미노프 라임,Smirnoff Lime,37.5,russia,Vodka,
스미노프 라즈베리,Smirnoff Raspberry,37.5,russia,Vodka,
스미노프 스트로베리,Smirnoff Strawberry,35,russia,Vodka,
스미노프 시트러스,Smirnoff Citrus,35,russia,Vodka,
스미노프 오렌지,Smirnoff Orange,35,russia,Vodka,
스미노프 오리지널,Smirnoff Original,40,russia,Vodka,
스미노프 코코넛,Smirnoff Coconut,35,russia,Vodka,
스미노프 피치,Smirnoff Peach,35,russia,Vodka,
스카치블루 17년,Scotch Blue 17 Years Old,40,scotland,Blended,
스카치블루 21년,Scotch Blue 21 Years Old,40,scotland,Blended,
스카치블루 30년,Scotch Blue 30 Years Old,40,scotland,Blended,
스카치블루 인터내셔널,Scotch Blue International,40,scotland,Blended,
스페이번 10년,Speyburn 10 year old,40,scotland,Single Malt,
스프링뱅크 10년,Springbank 10 Years Old,46,scotland,Single Malt,
스프링뱅크 10년cs,Springbank 10 Years Old Cask Strength,57.3,scotland,Single Malt,
스프링뱅크 12년,Springbank 12 Years Old,55~56,scotland,Single Malt,
스프링뱅크 12년cs,Springbank 12 Years Old Cask Strength,50.3,scotland,Single Malt,
스프링뱅크 15년,Springbank 15 Years Old,46,scotland,Single Malt,
스프링뱅크 17년,Springbank 17 Years Old,47.8,scotland,Single Malt,
스프링뱅크 18년,Springbank 18 Years Old,46,scotland,Single Malt,
스프링뱅크 21년,Springbank 21 Years Old,46,scotland,Single Malt,
스프링뱅크 25년,Springbank 25 Years Old,46,scotland,Single Malt,
시바스리갈 12년,Chivas Regal 12 Years Old,40,scotland,Blended,
시바스리갈 15년,Chivas Regal 15 Years Old,40,scotland,Blended,
시바스리갈 18년,Chivas Regal 18 Years Old,40,scotland,Blended,
시바스리갈 25년,Chivas Regal 25 Years Old,40,scotland,Blended,
싱글톤 12년,Singleton 12 Years Old,40,scotland,Single Malt,
싱글톤 15년,Singleton 15 Years Old,40,scotland,Single Malt,
싱글톤 18년,Singleton 18 Years Old,40,scotland,Single Malt,
아녹 12년,AnCnoc 12 Years Old,40,scotland,Single Malt,
아녹 18년,AnCnoc 18 Years Old,46,scotland,Single Malt,
아녹 24년,AnCnoc 24 Years Old,46,scotland,Single Malt,
아녹 루안,AnCnoc Rudhan,46,scotland,Single Malt,
